%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=208331, 2021/05/20 19:8:10.32)
68 1225 4.467895e-01 3.778921e+02  3.684541374655539610e-03  5.933408477488983507e-03  1.102355685234106611e-02  1.644985416384954144e-02
69 1243 4.499894e-01 3.760088e+02  3.684541374655539610e-03  8.852958078059846095e-03  1.171008459117439497e-02  2.265010044584059856e-01
70 1261 4.559726e-01 3.687447e+02  3.684541374655539610e-03  7.285724070023090991e-03  1.083528947366057225e-02  6.648875243462219753e-02
71 1279 4.553674e-01 3.789113e+02  3.684541374655539610e-03  5.101595856105565346e-03  1.105281949051400633e-02  1.204139492123308813e-01
72 1297 4.511942e-01 3.672905e+02  3.684541374655539610e-03  4.695889336801806896e-03  1.066173050083376803e-02  1.866237944293030193e-01
73 1315 4.465534e-01 3.709692e+02  3.684541374655539610e-03  4.942015538106920257e-03  1.164525685282659373e-02  8.964928038530207977e-02
74 1333 4.383883e-01 3.775623e+02  3.684541374655539610e-03  6.229475038675915712e-03  1.099949163251690010e-02  1.217657325658051265e-01
75 1351 4.385774e-01 3.745961e+02  3.684541374655539610e-03  5.666947325856605891e-03  8.717002809269774194e-03  9.963748448388450030e-02
76 1369 4.393331e-01 3.810642e+02  3.684541374655539610e-03  6.856105075715797706e-03  1.145030781523346738e-02  8.894095589660036549e-02
77 1387 4.403940e-01 3.843343e+02  3.684541374655539610e-03  6.634288891357290399e-03  1.026640911176518803e-02  6.937718549204510698e-02
78 1405 4.360077e-01 3.813972e+02  3.684541374655539610e-03  4.780481912503280889e-03  1.160371665989373170e-02  1.045524278571917098e-01
79 1423 4.293659e-01 3.832724e+02  3.684541374655539610e-03  5.646359249599820079e-03  9.937166430339629264e-03  9.782738458277025206e-02
80 1441 4.194844e-01 3.876300e+02  3.684541374655539610e-03  6.725150285926680821e-03  1.005479037099148328e-02  1.390122230938060921e-01
81 1459 4.114505e-01 3.903895e+02  3.684541374655539610e-03  4.419366481326723363e-03  1.051334446697159940e-02  2.015163271406544554e-01
82 1477 4.126878e-01 3.940586e+02  3.684541374655539610e-03  5.417567402588130236e-03  9.868946588921043844e-03  2.385872290853674471e-01
83 1495 4.174385e-01 3.970405e+02  3.684541374655539610e-03  4.781524881324156553e-03  1.133719387471075410e-02  6.654976816990265664e-02
84 1513 4.228048e-01 4.096955e+02  3.684541374655539610e-03  4.121666198287572518e-03  8.539147303946410111e-03  1.385168581337999083e-01
85 1531 4.261096e-01 4.189141e+02  3.684541374655539610e-03  5.268625414628484195e-03  1.002056620901395530e-02  3.749268394302759932e-01
86 1549 4.315874e-01 4.097859e+02  3.684541374655539610e-03  5.268919956368632238e-03  9.727961444479887171e-03  1.242525389446904049e-01
87 1567 4.389329e-01 3.982067e+02  3.684541374655539610e-03  4.405587550937650407e-03  8.437228001051493703e-03  2.940939901832691494e-01
88 1585 4.400041e-01 3.992670e+02  3.684541374655539610e-03  4.670229286535333355e-03  1.024721489323584395e-02  3.026458604060074387e-01
89 1603 4.413509e-01 3.819148e+02  3.684541374655539610e-03  4.756039594058163004e-03  9.677196358222478478e-03  3.278118354723256189e-01
90 1621 4.403305e-01 4.028896e+02  3.684541374655539610e-03  5.582497053230785732e-03  9.345953910667274822e-03  2.860467849281213004e-01
91 1639 4.410957e-01 4.023716e+02  3.684541374655539610e-03  6.144560487364400872e-03  9.624777303128953521e-03  2.488799222492067975e-01
92 1657 4.428583e-01 3.916036e+02  3.684541374655539610e-03  5.524113892230828916e-03  1.023330012498567358e-02  1.315171916974364197e-01
