%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=214150, 2022/11/29 1:49:29.50)
11 199  1.226531234434993388e-04 0 0 2.224354e+03 8.558545e-01 2.302588e+01 2.243561e+01 5.861220e+01 3.006555e+00 4.850678e+00 3.172380e+01 7.587881e-01 1.246758e-01 2.792869e+00 1.605558e-01 7.561900e-01 4.310526e-01 1.421461e+01 1.342471e+01 8.036765e+00 3.499012e+00 1.080560e+02 2.552239e+00 8.205728e+00 1.059199e+02 1.487596e+02 6.650966e+01 3.622965e+00 2.895118e+01 1.629384e+01 1.025126e+03 1.037931e+02 2.604624e+02 6.937087e+02 1.575168e+02 9.985514e+02 
12 217  7.847529890196067420e-05 0 0 2.224048e+03 9.463089e-01 2.341548e+01 2.049487e+01 5.893356e+01 3.050547e+00 4.916417e+00 3.234371e+01 6.797183e-01 2.080067e+00 2.858982e+00 -1.750860e-02 4.674331e-01 3.276466e-01 1.431901e+01 1.388806e+01 8.795200e+00 3.374011e+00 1.076717e+02 2.062841e+00 8.443445e+00 1.052464e+02 1.493770e+02 6.688110e+01 3.547349e+00 2.875142e+01 1.622155e+01 1.024828e+03 1.048729e+02 2.619862e+02 6.951049e+02 1.578319e+02 9.986088e+02 
13 235  9.837776485676568794e-05 0 0 2.224140e+03 9.162609e-01 2.246436e+01 2.126163e+01 5.930670e+01 2.741920e+00 5.338101e+00 3.176870e+01 9.807553e-01 1.388756e+00 3.517471e+00 2.888507e-01 2.106077e-01 5.595958e-01 1.404673e+01 1.281850e+01 7.706575e+00 3.776898e+00 1.069571e+02 1.596466e+00 8.499844e+00 1.052187e+02 1.491853e+02 6.674860e+01 2.972741e+00 2.818956e+01 1.662324e+01 1.023070e+03 1.035923e+02 2.611350e+02 6.940853e+02 1.582028e+02 9.988553e+02 
14 253  1.115900593907385096e-04 0 0 2.224152e+03 1.140047e+00 2.310398e+01 2.240609e+01 5.944096e+01 2.318163e+00 5.552522e+00 3.199032e+01 9.384916e-01 2.107662e+00 3.610014e+00 7.426641e-01 5.373958e-01 5.855436e-01 1.491564e+01 1.339574e+01 7.423719e+00 3.794884e+00 1.077214e+02 9.995033e-01 8.468988e+00 1.057361e+02 1.490183e+02 6.713001e+01 4.128440e+00 2.864635e+01 1.665552e+01 1.022125e+03 1.045705e+02 2.612877e+02 6.939918e+02 1.579805e+02 9.983970e+02 
15 271  9.336730674229133252e-05 0 0 2.224186e+03 1.104038e+00 2.157717e+01 2.143454e+01 6.009262e+01 3.260071e+00 6.303667e+00 3.161435e+01 3.337707e-01 -6.726791e-02 3.830169e+00 2.698037e-01 1.329963e+00 1.109502e+00 1.443966e+01 1.339026e+01 7.462111e+00 2.967312e+00 1.075649e+02 1.772141e+00 6.897443e+00 1.052505e+02 1.492487e+02 6.818366e+01 3.084991e+00 2.981025e+01 1.770204e+01 1.023433e+03 1.044397e+02 2.617793e+02 6.939790e+02 1.576097e+02 9.978659e+02 
16 289  6.612194672744870069e-05 0 0 2.224277e+03 1.030414e+00 2.272756e+01 2.139139e+01 5.950735e+01 3.755112e+00 5.040663e+00 3.199824e+01 3.216771e-01 5.835260e-01 4.608881e+00 1.134748e+00 6.208225e-01 1.094899e+00 1.458434e+01 1.411108e+01 8.153893e+00 1.982929e+00 1.080263e+02 1.061457e+00 7.714304e+00 1.055224e+02 1.480519e+02 6.636733e+01 3.013664e+00 2.865746e+01 1.805211e+01 1.023570e+03 1.046579e+02 2.613495e+02 6.932339e+02 1.569838e+02 9.986907e+02 
17 307  1.066986864976427770e-04 0 0 2.224369e+03 9.769223e-01 2.326993e+01 2.146469e+01 5.958146e+01 3.172158e+00 5.141087e+00 3.207532e+01 6.856733e-01 -1.084959e-01 4.502235e+00 8.253894e-01 5.822812e-01 1.191544e+00 1.395455e+01 1.400221e+01 8.259964e+00 2.418895e+00 1.068536e+02 1.114525e+00 7.103394e+00 1.049515e+02 1.484970e+02 6.759475e+01 3.553931e+00 3.029243e+01 1.653458e+01 1.024519e+03 1.043622e+02 2.607349e+02 6.939735e+02 1.581317e+02 9.979458e+02 
18 325  1.211475434116851947e-04 0 0 2.224682e+03 1.057744e+00 2.361862e+01 2.105790e+01 5.915093e+01 3.164546e+00 5.605722e+00 3.162631e+01 1.389867e+00 6.828442e-01 4.887036e+00 1.025060e+00 4.921827e-01 1.015426e+00 1.417389e+01 1.427134e+01 8.357819e+00 2.993982e+00 1.077622e+02 1.833379e+00 7.888055e+00 1.061616e+02 1.483672e+02 6.687477e+01 3.490155e+00 2.965911e+01 1.695417e+01 1.023648e+03 1.034764e+02 2.613304e+02 6.931269e+02 1.578016e+02 9.981045e+02 
19 343  8.175550784065778356e-05 0 0 2.223837e+03 1.044158e+00 2.321072e+01 2.088920e+01 5.968621e+01 2.825704e+00 5.760294e+00 3.267867e+01 1.042290e+00 7.241910e-01 4.133676e+00 5.360760e-01 9.116795e-01 1.605498e+00 1.369918e+01 1.371761e+01 8.695108e+00 3.276218e+00 1.079188e+02 2.233212e+00 7.982541e+00 1.058000e+02 1.481019e+02 6.804198e+01 3.817101e+00 2.944274e+01 1.731993e+01 1.022870e+03 1.048286e+02 2.586696e+02 6.936724e+02 1.567219e+02 9.975051e+02 
20 361  8.036012370219735332e-05 0 0 2.224570e+03 1.169404e+00 2.207041e+01 2.127386e+01 5.871977e+01 2.424637e+00 5.762425e+00 3.146035e+01 5.033280e-01 1.207521e+00 4.331742e+00 6.987075e-01 8.091921e-01 1.781010e+00 1.433647e+01 1.383970e+01 8.419087e+00 3.293702e+00 1.069262e+02 1.490772e+00 8.186843e+00 1.054693e+02 1.487791e+02 6.742800e+01 3.519485e+00 3.031302e+01 1.762671e+01 1.024691e+03 1.044738e+02 2.585360e+02 6.934824e+02 1.583984e+02 9.981654e+02 
