%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=209641, 2021/04/23 23:2:23.41)
15 271 1.837536e+00 0 0 1.706403e+00 1.338235e+00 1.846142e+00 1.680924e+00 2.799598e+00 3.320973e+00 1.556541e+00 1.585785e+00 1.393412e+00 1.487130e+00 1.595669e+00 1.552374e+00 1.950307e+00 1.443592e+00 1.724645e+00 1.620257e+00 1.820544e+00 1.776234e+00 1.464223e+00 1.563522e+00 1.764534e+00 1.619468e+00 1.466945e+00 1.453362e+00 1.529129e+00 1.521044e+00 1.454497e+00 1.612319e+00 
16 289 2.074745e+00 0 0 1.889140e+00 1.500367e+00 2.126093e+00 1.830314e+00 3.044315e+00 3.612116e+00 1.711534e+00 1.782242e+00 1.507420e+00 1.636112e+00 1.791318e+00 1.730070e+00 2.161587e+00 1.570454e+00 1.910766e+00 1.831040e+00 2.031732e+00 1.978627e+00 1.629742e+00 1.691844e+00 1.941813e+00 1.852982e+00 1.602519e+00 1.616787e+00 1.714186e+00 1.675400e+00 1.699368e+00 1.763657e+00 
17 307 2.298485e+00 0 0 2.051519e+00 1.630938e+00 2.443666e+00 1.990052e+00 3.437580e+00 3.841111e+00 1.864862e+00 1.936560e+00 1.619274e+00 1.761832e+00 1.963016e+00 1.987728e+00 2.349133e+00 1.709905e+00 2.094112e+00 2.034277e+00 2.228311e+00 2.140155e+00 1.737668e+00 1.842202e+00 2.244411e+00 2.020056e+00 1.708244e+00 1.748435e+00 1.869638e+00 1.805260e+00 1.836703e+00 1.952779e+00 
18 325 2.516687e+00 0 0 2.234656e+00 1.743367e+00 2.742344e+00 2.140121e+00 3.706420e+00 4.049789e+00 1.965508e+00 2.084541e+00 1.784431e+00 1.862892e+00 2.113401e+00 2.139579e+00 2.539638e+00 1.889303e+00 2.234904e+00 2.358903e+00 2.474319e+00 2.311439e+00 1.842146e+00 1.978561e+00 2.384960e+00 2.206923e+00 1.920994e+00 1.894035e+00 2.064086e+00 1.958928e+00 1.964884e+00 2.177907e+00 
19 343 2.680425e+00 0 0 2.402190e+00 1.894590e+00 2.827635e+00 2.274124e+00 3.832959e+00 4.137073e+00 2.058991e+00 2.141669e+00 1.840037e+00 1.920806e+00 2.203202e+00 2.304857e+00 2.637923e+00 2.000534e+00 2.326630e+00 2.437946e+00 2.537773e+00 2.396686e+00 1.876927e+00 2.067711e+00 2.460442e+00 2.300928e+00 2.012362e+00 1.974151e+00 2.206181e+00 2.062687e+00 2.051976e+00 2.254647e+00 
20 361 2.821927e+00 0 0 2.514930e+00 1.983009e+00 2.882486e+00 2.376113e+00 4.112614e+00 4.166576e+00 2.134627e+00 2.242436e+00 1.889544e+00 1.954332e+00 2.282015e+00 2.369078e+00 2.761477e+00 2.062194e+00 2.393515e+00 2.515160e+00 2.603818e+00 2.536059e+00 1.962027e+00 2.151058e+00 2.479861e+00 2.378566e+00 2.059945e+00 2.050293e+00 2.300823e+00 2.144339e+00 2.087016e+00 2.307709e+00 
21 379 2.864938e+00 0 0 2.657234e+00 1.939557e+00 2.838414e+00 2.401799e+00 4.051558e+00 4.034270e+00 2.176662e+00 2.212590e+00 1.868686e+00 2.008951e+00 2.249727e+00 2.475627e+00 2.800722e+00 2.032115e+00 2.335398e+00 2.475882e+00 2.539409e+00 2.549034e+00 1.974565e+00 2.177676e+00 2.462918e+00 2.424119e+00 2.034499e+00 2.021538e+00 2.262766e+00 2.123927e+00 2.089636e+00 2.294560e+00 
22 397 2.848701e+00 0 0 2.658736e+00 1.914746e+00 3.078792e+00 2.380617e+00 4.122707e+00 3.874922e+00 2.252950e+00 2.114630e+00 1.881155e+00 1.995304e+00 2.281773e+00 2.425939e+00 2.722352e+00 1.965748e+00 2.254402e+00 2.392523e+00 2.473340e+00 2.485172e+00 1.923227e+00 2.146997e+00 2.421084e+00 2.360890e+00 2.045887e+00 2.032403e+00 2.269716e+00 2.223340e+00 2.051762e+00 2.285189e+00 
23 415 2.810808e+00 0 0 2.663432e+00 1.837106e+00 3.024592e+00 2.333770e+00 4.095864e+00 3.649711e+00 2.205319e+00 2.045374e+00 1.836041e+00 1.938064e+00 2.203044e+00 2.442322e+00 2.636237e+00 1.930222e+00 2.206503e+00 2.348360e+00 2.408951e+00 2.395202e+00 1.859751e+00 2.013566e+00 2.359257e+00 2.287793e+00 1.964490e+00 1.950118e+00 2.560644e+00 2.129217e+00 1.959643e+00 2.214524e+00 
24 433 2.725812e+00 0 0 2.544334e+00 1.764642e+00 2.887445e+00 2.263985e+00 3.935929e+00 3.376975e+00 2.141965e+00 1.920999e+00 1.735938e+00 1.830379e+00 2.144979e+00 2.291726e+00 2.558866e+00 1.824325e+00 2.060344e+00 2.233371e+00 2.257799e+00 2.324334e+00 1.760922e+00 1.902993e+00 2.350151e+00 2.129993e+00 1.836577e+00 1.879676e+00 2.618292e+00 1.995255e+00 1.818379e+00 2.124891e+00 
25 451 2.673537e+00 0 0 2.413541e+00 1.688686e+00 2.746796e+00 2.446560e+00 3.832746e+00 3.161124e+00 2.151691e+00 1.897764e+00 1.702898e+00 1.802784e+00 2.054183e+00 2.254563e+00 2.474360e+00 1.754368e+00 1.938021e+00 2.153830e+00 2.183440e+00 2.224523e+00 1.662897e+00 1.883108e+00 2.249320e+00 2.128941e+00 1.790578e+00 1.790247e+00 2.523607e+00 1.906985e+00 1.799284e+00 2.031173e+00 
